symbol,action,total_score,trend_score,volume_score,close,change_pct,vol_ratio,avg_vol_20d,turnover_b,rsi14,trend_up,macd_positive,breakout_20d,notes
COCO.JK,MONITOR,4,1,3,314.0,-12.290502793296088,5.798903515035902,13828735.0,25.180131,47.37159000670249,False,True,False,strong_volume
JAST.JK,MONITOR,4,1,3,99.0,1.0204081632653061,4.4901238288226795,15895330.0,7.065828,47.8238087423387,False,True,False,strong_volume
IOTF.JK,MONITOR,4,1,3,63.0,0.0,3.130381658721319,23047030.0,4.545198,45.024187048530784,False,True,False,strong_volume
SMLE.JK,MONITOR,4,1,3,128.0,0.7874015748031495,2.7460729269152204,3135605.0,1.1021568,42.6908120696512,False,True,False,strong_volume
SOHO.JK,MONITOR,4,1,3,2060.0,1.477832512315271,2.365757081683479,279065.0,1.360012,46.935457052233595,False,True,False,strong_volume
BBHI.JK,MONITOR,4,1,3,1300.0,-1.5151515151515151,2.339667458432304,387320.0,1.17806,40.23770702450561,False,True,False,strong_volume
UVCR.JK,MONITOR,4,1,3,122.0,1.6666666666666667,2.3227016653362718,5656215.0,1.6027994,42.83452830071274,False,True,False,strong_volume
IATA.JK,MONITOR,4,1,3,74.0,-2.631578947368421,2.151755722771643,182383435.0,29.0409004,42.99209146995438,False,True,False,strong_volume
GPRA.JK,MONITOR,4,1,3,98.0,-3.9215686274509802,2.085732710497567,22074305.0,4.5120278,36.97374459112649,False,True,False,strong_volume
NETV.JK,MONITOR,4,1,3,85.0,-5.555555555555555,1.9759641790559266,127884960.0,21.4791685,44.268336142831,False,True,False,strong_volume
WIIM.JK,MONITOR,4,1,3,1805.0,1.1204481792717087,1.950863357759176,4889630.0,17.217895,43.04728591683093,False,False,False,strong_volume
GPSO.JK,MONITOR,4,1,3,314.0,-1.257861635220126,1.9121674975418002,4647710.0,2.7905808,33.52348677192569,False,True,False,strong_volume
CUAN.JK,MONITOR,4,1,3,1045.0,-7.52212389380531,1.8340239119173511,207058260.0,396.838541,30.63074201528184,False,True,False,strong_volume
JARR.JK,MONITOR,4,2,2,2040.0,0.0,1.3731831692618146,1833550.0,5.136312,45.21412079480185,False,True,False,-
DEWA.JK,MONITOR,4,2,2,468.0,-7.326732673267326,1.294408209460041,719434405.0,435.8211624,48.3773500714767,False,True,False,-
PBID.JK,MONITOR,4,3,1,520.0,1.9607843137254901,1.2875291298153457,1435385.0,0.961012,77.81828828040976,True,True,False,-
HAJJ.JK,MONITOR,4,2,2,125.0,4.166666666666666,1.2423213814123764,10318425.0,1.60235,45.23477151529806,False,True,False,strong_daily_move
